|TCP   |Source Port |Destination Port |Sequence Number  |Acknowledge Number |Source IP        |Dest IP          |Urgent Flag | Retrans|
|129   |22          |58300            |1251291651       |603062000          |146.141.28.253   |146.141.28.130   |0           |20       |
|130   |58300       |22               |603062000        |1251291923         |146.141.28.130   |146.141.28.253   |0           |20       |
|131   |22          |58300            |1251291923       |603062000          |146.141.28.253   |146.141.28.130   |0           |20       |
|132   |22          |58300            |1251292115       |603062000          |146.141.28.253   |146.141.28.130   |0           |20       |
|133   |58300       |22               |603062000        |1251292115         |146.141.28.130   |146.141.28.253   |0           |20       |
|134   |58300       |22               |603062000        |1251292163         |146.141.28.130   |146.141.28.253   |0           |20       |
|135   |22          |58300            |1251292163       |603062000          |146.141.28.253   |146.141.28.130   |0           |21       |
|136   |22          |58300            |1251292435       |603062000          |146.141.28.253   |146.141.28.130   |0           |21       |
|137   |58300       |22               |603062000        |1251292547         |146.141.28.130   |146.141.28.253   |0           |21       |
|138   |22          |58300            |1251292547       |603062000          |146.141.28.253   |146.141.28.130   |0           |21       |
|139   |22          |58300            |1251292659       |603062000          |146.141.28.253   |146.141.28.130   |0           |21       |
|140   |58300       |22               |603062000        |1251292659         |146.141.28.130   |146.141.28.253   |0           |21       |
|141   |58300       |22               |603062000        |1251292707         |146.141.28.130   |146.141.28.253   |0           |21       |
|142   |22          |58300            |1251292707       |603062000          |146.141.28.253   |146.141.28.130   |0           |22       |
|143   |58300       |22               |603062000        |1251292979         |146.141.28.130   |146.141.28.253   |0           |22       |
|144   |22          |58300            |1251292979       |603062000          |146.141.28.253   |146.141.28.130   |0           |22       |
|145   |22          |58300            |1251293091       |603062000          |146.141.28.253   |146.141.28.130   |0           |22       |
|146   |58300       |22               |603062000        |1251293091         |146.141.28.130   |146.141.28.253   |0           |22       |
|147   |58300       |22               |603062000        |1251293203         |146.141.28.130   |146.141.28.253   |0           |22       |
|148   |22          |58300            |1251293203       |603062000          |146.141.28.253   |146.141.28.130   |0           |23       |
|149   |22          |58300            |1251293315       |603062000          |146.141.28.253   |146.141.28.130   |0           |23       |
|150   |58300       |22               |603062000        |1251293315         |146.141.28.130   |146.141.28.253   |0           |23       |
|151   |58300       |22               |603062000        |1251293363         |146.141.28.130   |146.141.28.253   |0           |23       |
|152   |22          |58300            |1251293363       |603062000          |146.141.28.253   |146.141.28.130   |0           |24       |
|153   |22          |58300            |1251293475       |603062000          |146.141.28.253   |146.141.28.130   |0           |24       |
|154   |58300       |22               |603062000        |1251293475         |146.141.28.130   |146.141.28.253   |0           |24       |
|155   |58300       |22               |603062000        |1251293587         |146.141.28.130   |146.141.28.253   |0           |24       |
|156   |22          |58300            |1251293587       |603062000          |146.141.28.253   |146.141.28.130   |0           |25       |
|157   |58300       |22               |603062000        |1251293699         |146.141.28.130   |146.141.28.253   |0           |25       |
|158   |22          |58300            |1251293699       |603062000          |146.141.28.253   |146.141.28.130   |0           |25       |
|159   |22          |58300            |1251293811       |603062000          |146.141.28.253   |146.141.28.130   |0           |25       |
|160   |58300       |22               |603062000        |1251293811         |146.141.28.130   |146.141.28.253   |0           |25       |
|161   |58300       |22               |603062000        |1251293923         |146.141.28.130   |146.141.28.253   |0           |25       |
|162   |22          |58300            |1251293923       |603062000          |146.141.28.253   |146.141.28.130   |0           |26       |
|163   |22          |58300            |1251294035       |603062000          |146.141.28.253   |146.141.28.130   |0           |26       |
|164   |58300       |22               |603062000        |1251294035         |146.141.28.130   |146.141.28.253   |0           |26       |
|165   |58300       |22               |603062000        |1251294147         |146.141.28.130   |146.141.28.253   |0           |26       |
|166   |22          |58300            |1251294147       |603062000          |146.141.28.253   |146.141.28.130   |0           |27       |
|167   |22          |58300            |1251294259       |603062000          |146.141.28.253   |146.141.28.130   |0           |27       |
|168   |58300       |22               |603062000        |1251294259         |146.141.28.130   |146.141.28.253   |0           |27       |
|169   |58300       |22               |603062000        |1251294371         |146.141.28.130   |146.141.28.253   |0           |27       |
|170   |22          |58300            |1251294371       |603062000          |146.141.28.253   |146.141.28.130   |0           |28       |
|171   |22          |58300            |1251294483       |603062000          |146.141.28.253   |146.141.28.130   |0           |28       |
|172   |58300       |22               |603062000        |1251294483         |146.141.28.130   |146.141.28.253   |0           |28       |
|173   |58300       |22               |603062000        |1251294595         |146.141.28.130   |146.141.28.253   |0           |28       |
|174   |22          |58300            |1251294595       |603062000          |146.141.28.253   |146.141.28.130   |0           |29       |
|175   |22          |58300            |1251294707       |603062000          |146.141.28.253   |146.141.28.130   |0           |29       |
|176   |58300       |22               |603062000        |1251294707         |146.141.28.130   |146.141.28.253   |0           |29       |
|177   |58300       |22               |603062000        |1251294819         |146.141.28.130   |146.141.28.253   |0           |29       |
|178   |22          |58300            |1251294819       |603062000          |146.141.28.253   |146.141.28.130   |0           |30       |
|179   |22          |58300            |1251294931       |603062000          |146.141.28.253   |146.141.28.130   |0           |30       |
|180   |58300       |22               |603062000        |1251294931         |146.141.28.130   |146.141.28.253   |0           |30       |
|181   |22          |58300            |1251295043       |603062000          |146.141.28.253   |146.141.28.130   |0           |30       |
|182   |58300       |22               |603062000        |1251295043         |146.141.28.130   |146.141.28.253   |0           |30       |
|183   |58300       |22               |603062000        |1251295155         |146.141.28.130   |146.141.28.253   |0           |30       |
|184   |22          |58300            |1251295155       |603062000          |146.141.28.253   |146.141.28.130   |0           |31       |
|185   |22          |58300            |1251295267       |603062000          |146.141.28.253   |146.141.28.130   |0           |31       |
|186   |58300       |22               |603062000        |1251295267         |146.141.28.130   |146.141.28.253   |0           |31       |
|187   |58300       |22               |603062000        |1251295379         |146.141.28.130   |146.141.28.253   |0           |31       |
|188   |22          |58300            |1251295379       |603062000          |146.141.28.253   |146.141.28.130   |0           |32       |
|189   |22          |58300            |1251295491       |603062000          |146.141.28.253   |146.141.28.130   |0           |32       |
|190   |58300       |22               |603062000        |1251295491         |146.141.28.130   |146.141.28.253   |0           |32       |
|191   |22          |58300            |1251295603       |603062000          |146.141.28.253   |146.141.28.130   |0           |32       |
|192   |58300       |22               |603062000        |1251295603         |146.141.28.130   |146.141.28.253   |0           |32       |
